fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide
7.4,0.7,0,1.9,0.076,11
7.8,0.88,0,2.6,0.098,25
7.8,0.76,0.04,2.3,0.092,15
11.2,0.28,0.56,1.9,0.075,17
7.4,0.7,0,1.9,0.076,11
7.4,0.66,0,1.8,0.075,13
7.9,0.6,0.06,1.6,0.069,15
7.3,0.65,0,1.2,0.065,15
7.8,0.58,0.02,2,0.073,9
7.5,0.5,0.36,6.1,0.071,17
6.7,0.58,0.08,1.8,0.097,15
7.5,0.5,0.36,6.1,0.071,17
5.6,0.615,0,1.6,0.089,16
7.8,0.61,0.29,1.6,0.114,9
8.9,0.62,0.18,3.8,0.176,52
8.9,0.62,0.19,3.9,0.17,51
8.5,0.28,0.56,1.8,0.092,35
8.1,0.56,0.28,1.7,0.368,16
7.4,0.59,0.08,4.4,0.086,6
7.9,0.32,0.51,1.8,0.341,17
8.9,0.22,0.48,1.8,0.077,29
7.6,0.39,0.31,2.3,0.082,23
7.9,0.43,0.21,1.6,0.106,10
8.5,0.49,0.11,2.3,0.084,9
6.9,0.4,0.14,2.4,0.085,21
6.3,0.39,0.16,1.4,0.08,11
7.6,0.41,0.24,1.8,0.08,4
7.9,0.43,0.21,1.6,0.106,10
7.1,0.71,0,1.9,0.08,14
7.8,0.645,0,2,0.082,8
6.7,0.675,0.07,2.4,0.089,17
6.9,0.685,0,2.5,0.105,22
8.3,0.655,0.12,2.3,0.083,15
6.9,0.605,0.12,10.7,0.073,40
5.2,0.32,0.25,1.8,0.103,13
7.8,0.645,0,5.5,0.086,5
7.8,0.6,0.14,2.4,0.086,3
8.1,0.38,0.28,2.1,0.066,13
5.7,1.13,0.09,1.5,0.172,7
7.3,0.45,0.36,5.9,0.074,12
7.3,0.45,0.36,5.9,0.074,12
8.8,0.61,0.3,2.8,0.088,17
7.5,0.49,0.2,2.6,0.332,8
8.1,0.66,0.22,2.2,0.069,9
6.8,0.67,0.02,1.8,0.05,5
4.6,0.52,0.15,2.1,0.054,8
7.7,0.935,0.43,2.2,0.114,22
8.7,0.29,0.52,1.6,0.113,12
6.4,0.4,0.23,1.6,0.066,5
5.6,0.31,0.37,1.4,0.074,12
8.8,0.66,0.26,1.7,0.074,4
6.6,0.52,0.04,2.2,0.069,8
6.6,0.5,0.04,2.1,0.068,6
8.6,0.38,0.36,3,0.081,30
7.6,0.51,0.15,2.8,0.11,33
7.7,0.62,0.04,3.8,0.084,25
10.2,0.42,0.57,3.4,0.07,4
7.5,0.63,0.12,5.1,0.111,50
7.8,0.59,0.18,2.3,0.076,17
7.3,0.39,0.31,2.4,0.074,9
8.8,0.4,0.4,2.2,0.079,19
7.7,0.69,0.49,1.8,0.115,20
7.5,0.52,0.16,1.9,0.085,12
7,0.735,0.05,2,0.081,13
7.2,0.725,0.05,4.65,0.086,4
7.2,0.725,0.05,4.65,0.086,4
7.5,0.52,0.11,1.5,0.079,11
6.6,0.705,0.07,1.6,0.076,6
9.3,0.32,0.57,2,0.074,27
8,0.705,0.05,1.9,0.074,8
7.7,0.63,0.08,1.9,0.076,15
7.7,0.67,0.23,2.1,0.088,17
7.7,0.69,0.22,1.9,0.084,18
8.3,0.675,0.26,2.1,0.084,11
9.7,0.32,0.54,2.5,0.094,28
8.8,0.41,0.64,2.2,0.093,9
8.8,0.41,0.64,2.2,0.093,9
6.8,0.785,0,2.4,0.104,14
6.7,0.75,0.12,2,0.086,12
8.3,0.625,0.2,1.5,0.08,27
6.2,0.45,0.2,1.6,0.069,3
7.8,0.43,0.7,1.9,0.464,22
7.4,0.5,0.47,2,0.086,21
7.3,0.67,0.26,1.8,0.401,16
6.3,0.3,0.48,1.8,0.069,18
6.9,0.55,0.15,2.2,0.076,19
8.6,0.49,0.28,1.9,0.11,20
7.7,0.49,0.26,1.9,0.062,9
9.3,0.39,0.44,2.1,0.107,34
7,0.62,0.08,1.8,0.076,8
7.9,0.52,0.26,1.9,0.079,42
8.6,0.49,0.28,1.9,0.11,20
8.6,0.49,0.29,2,0.11,19
7.7,0.49,0.26,1.9,0.062,9
5,1.02,0.04,1.4,0.045,41
4.7,0.6,0.17,2.3,0.058,17
6.8,0.775,0,3,0.102,8
7,0.5,0.25,2,0.07,3
7.6,0.9,0.06,2.5,0.079,5
8.1,0.545,0.18,1.9,0.08,13
8.3,0.61,0.3,2.1,0.084,11
7.8,0.5,0.3,1.9,0.075,8
8.1,0.545,0.18,1.9,0.08,13
8.1,0.575,0.22,2.1,0.077,12
7.2,0.49,0.24,2.2,0.07,5
8.1,0.575,0.22,2.1,0.077,12
7.8,0.41,0.68,1.7,0.467,18
6.2,0.63,0.31,1.7,0.088,15
8,0.33,0.53,2.5,0.091,18
8.1,0.785,0.52,2,0.122,37
7.8,0.56,0.19,1.8,0.104,12
8.4,0.62,0.09,2.2,0.084,11
8.4,0.6,0.1,2.2,0.085,14
10.1,0.31,0.44,2.3,0.08,22
7.8,0.56,0.19,1.8,0.104,12
9.4,0.4,0.31,2.2,0.09,13
8.3,0.54,0.28,1.9,0.077,11
7.8,0.56,0.12,2,0.082,7
8.8,0.55,0.04,2.2,0.119,14
7,0.69,0.08,1.8,0.097,22
7.3,1.07,0.09,1.7,0.178,10
8.8,0.55,0.04,2.2,0.119,14
7.3,0.695,0,2.5,0.075,3
8,0.71,0,2.6,0.08,11
7.8,0.5,0.17,1.6,0.082,21
9,0.62,0.04,1.9,0.146,27
8.2,1.33,0,1.7,0.081,3
8.1,1.33,0,1.8,0.082,3
8,0.59,0.16,1.8,0.065,3
6.1,0.38,0.15,1.8,0.072,6
8,0.745,0.56,2,0.118,30
5.6,0.5,0.09,2.3,0.049,17
5.6,0.5,0.09,2.3,0.049,17
6.6,0.5,0.01,1.5,0.06,17
7.9,1.04,0.05,2.2,0.084,13
8.4,0.745,0.11,1.9,0.09,16
8.3,0.715,0.15,1.8,0.089,10
7.2,0.415,0.36,2,0.081,13
7.8,0.56,0.19,2.1,0.081,15
7.8,0.56,0.19,2,0.081,17
8.4,0.745,0.11,1.9,0.09,16
8.3,0.715,0.15,1.8,0.089,10
5.2,0.34,0,1.8,0.05,27
6.3,0.39,0.08,1.7,0.066,3
5.2,0.34,0,1.8,0.05,27
8.1,0.67,0.55,1.8,0.117,32
5.8,0.68,0.02,1.8,0.087,21
7.6,0.49,0.26,1.6,0.236,10
6.9,0.49,0.1,2.3,0.074,12
8.2,0.4,0.44,2.8,0.089,11
7.3,0.33,0.47,2.1,0.077,5
9.2,0.52,1,3.4,0.61,32
7.5,0.6,0.03,1.8,0.095,25
7.5,0.6,0.03,1.8,0.095,25
7.1,0.43,0.42,5.5,0.07,29
7.1,0.43,0.42,5.5,0.071,28
7.1,0.43,0.42,5.5,0.07,29
7.1,0.43,0.42,5.5,0.071,28
7.1,0.68,0,2.2,0.073,12
6.8,0.6,0.18,1.9,0.079,18
7.6,0.95,0.03,2,0.09,7
7.6,0.68,0.02,1.3,0.072,9
7.8,0.53,0.04,1.7,0.076,17
7.4,0.6,0.26,7.3,0.07,36
7.3,0.59,0.26,7.2,0.07,35
7.8,0.63,0.48,1.7,0.1,14
6.8,0.64,0.1,2.1,0.085,18
7.3,0.55,0.03,1.6,0.072,17
6.8,0.63,0.07,2.1,0.089,11
7.5,0.705,0.24,1.8,0.36,15
7.9,0.885,0.03,1.8,0.058,4
8,0.42,0.17,2,0.073,6
8,0.42,0.17,2,0.073,6
7.4,0.62,0.05,1.9,0.068,24
7.3,0.38,0.21,2,0.08,7
6.9,0.5,0.04,1.5,0.085,19
7.3,0.38,0.21,2,0.08,7
7.5,0.52,0.42,2.3,0.087,8
7,0.805,0,2.5,0.068,7
8.8,0.61,0.14,2.4,0.067,10
8.8,0.61,0.14,2.4,0.067,10
8.9,0.61,0.49,2,0.27,23
7.2,0.73,0.02,2.5,0.076,16
6.8,0.61,0.2,1.8,0.077,11
6.7,0.62,0.21,1.9,0.079,8
8.9,0.31,0.57,2,0.111,26
7.4,0.39,0.48,2,0.082,14
7.7,0.705,0.1,2.6,0.084,9
7.9,0.5,0.33,2,0.084,15
7.9,0.49,0.32,1.9,0.082,17
8.2,0.5,0.35,2.9,0.077,21
6.4,0.37,0.25,1.9,0.074,21
6.8,0.63,0.12,3.8,0.099,16
7.6,0.55,0.21,2.2,0.071,7
7.6,0.55,0.21,2.2,0.071,7
7.8,0.59,0.33,2,0.074,24
7.3,0.58,0.3,2.4,0.074,15
11.5,0.3,0.6,2,0.067,12
5.4,0.835,0.08,1.2,0.046,13
6.9,1.09,0.06,2.1,0.061,12
9.6,0.32,0.47,1.4,0.056,9
8.8,0.37,0.48,2.1,0.097,39
6.8,0.5,0.11,1.5,0.075,16
7,0.42,0.35,1.6,0.088,16
7,0.43,0.36,1.6,0.089,14
12.8,0.3,0.74,2.6,0.095,9
12.8,0.3,0.74,2.6,0.095,9
7.8,0.57,0.31,1.8,0.069,26
7.8,0.44,0.28,2.7,0.1,18
11,0.3,0.58,2.1,0.054,7
9.7,0.53,0.6,2,0.039,5
8,0.725,0.24,2.8,0.083,10
11.6,0.44,0.64,2.1,0.059,5
8.2,0.57,0.26,2.2,0.06,28
7.8,0.735,0.08,2.4,0.092,10
7,0.49,0.49,5.6,0.06,26
8.7,0.625,0.16,2,0.101,13
8.1,0.725,0.22,2.2,0.072,11
7.5,0.49,0.19,1.9,0.076,10
7.8,0.53,0.33,2.4,0.08,24
7.8,0.34,0.37,2,0.082,24
7.4,0.53,0.26,2,0.101,16
6.8,0.61,0.04,1.5,0.057,5
8.6,0.645,0.25,2,0.083,8
8.4,0.635,0.36,2,0.089,15
7.7,0.43,0.25,2.6,0.073,29
8.9,0.59,0.5,2,0.337,27
9,0.82,0.14,2.6,0.089,9
7.7,0.43,0.25,2.6,0.073,29
6.9,0.52,0.25,2.6,0.081,10
5.2,0.48,0.04,1.6,0.054,19
8,0.38,0.06,1.8,0.078,12
8.5,0.37,0.2,2.8,0.09,18
6.9,0.52,0.25,2.6,0.081,10
8.2,1,0.09,2.3,0.065,7
7.2,0.63,0,1.9,0.097,14
7.2,0.63,0,1.9,0.097,14
7.2,0.645,0,1.9,0.097,15
7.2,0.63,0,1.9,0.097,14
8.2,1,0.09,2.3,0.065,7
8.9,0.635,0.37,1.7,0.263,5
12,0.38,0.56,2.1,0.093,6
7.7,0.58,0.1,1.8,0.102,28
15,0.21,0.44,2.2,0.075,10
15,0.21,0.44,2.2,0.075,10
7.3,0.66,0,2,0.084,6
7.1,0.68,0.07,1.9,0.075,16
8.2,0.6,0.17,2.3,0.072,11
7.7,0.53,0.06,1.7,0.074,9
7.3,0.66,0,2,0.084,6
10.8,0.32,0.44,1.6,0.063,16
7.1,0.6,0,1.8,0.074,16
11.1,0.35,0.48,3.1,0.09,5
7.7,0.775,0.42,1.9,0.092,8
7.1,0.6,0,1.8,0.074,16
8,0.57,0.23,3.2,0.073,17
9.4,0.34,0.37,2.2,0.075,5
6.6,0.695,0,2.1,0.075,12
7.7,0.41,0.76,1.8,0.611,8
10,0.31,0.47,2.6,0.085,14
7.9,0.33,0.23,1.7,0.077,18
7,0.975,0.04,2,0.087,12
8,0.52,0.03,1.7,0.07,10
7.9,0.37,0.23,1.8,0.077,23
12.5,0.56,0.49,2.4,0.064,5
11.8,0.26,0.52,1.8,0.071,6
8.1,0.87,0,3.3,0.096,26
7.9,0.35,0.46,3.6,0.078,15
6.9,0.54,0.04,3,0.077,7
11.5,0.18,0.51,4,0.104,4
7.9,0.545,0.06,4,0.087,27
11.5,0.18,0.51,4,0.104,4
10.9,0.37,0.58,4,0.071,17
8.4,0.715,0.2,2.4,0.076,10
7.5,0.65,0.18,7,0.088,27
7.9,0.545,0.06,4,0.087,27
6.9,0.54,0.04,3,0.077,7
11.5,0.18,0.51,4,0.104,4
10.3,0.32,0.45,6.4,0.073,5
8.9,0.4,0.32,5.6,0.087,10
11.4,0.26,0.44,3.6,0.071,6
7.7,0.27,0.68,3.5,0.358,5
7.6,0.52,0.12,3,0.067,12
8.9,0.4,0.32,5.6,0.087,10
9.9,0.59,0.07,3.4,0.102,32
9.9,0.59,0.07,3.4,0.102,32
12,0.45,0.55,2,0.073,25
7.5,0.4,0.12,3,0.092,29
8.7,0.52,0.09,2.5,0.091,20
11.6,0.42,0.53,3.3,0.105,33
8.7,0.52,0.09,2.5,0.091,20
11,0.2,0.48,2,0.343,6
10.4,0.55,0.23,2.7,0.091,18
6.9,0.36,0.25,2.4,0.098,5
13.3,0.34,0.52,3.2,0.094,17
10.8,0.5,0.46,2.5,0.073,5
10.6,0.83,0.37,2.6,0.086,26
7.1,0.63,0.06,2,0.083,8
7.2,0.65,0.02,2.3,0.094,5
6.9,0.67,0.06,2.1,0.08,8
7.5,0.53,0.06,2.6,0.086,20
11.1,0.18,0.48,1.5,0.068,7
8.3,0.705,0.12,2.6,0.092,12
7.4,0.67,0.12,1.6,0.186,5
8.4,0.65,0.6,2.1,0.112,12
10.3,0.53,0.48,2.5,0.063,6
7.6,0.62,0.32,2.2,0.082,7
10.3,0.41,0.42,2.4,0.213,6
10.3,0.43,0.44,2.4,0.214,5
7.4,0.29,0.38,1.7,0.062,9
10.3,0.53,0.48,2.5,0.063,6
7.9,0.53,0.24,2,0.072,15
9,0.46,0.31,2.8,0.093,19
8.6,0.47,0.3,3,0.076,30
7.4,0.36,0.29,2.6,0.087,26
7.1,0.35,0.29,2.5,0.096,20
9.6,0.56,0.23,3.4,0.102,37
9.6,0.77,0.12,2.9,0.082,30
9.8,0.66,0.39,3.2,0.083,21
9.6,0.77,0.12,2.9,0.082,30
9.8,0.66,0.39,3.2,0.083,21
9.3,0.61,0.26,3.4,0.09,25
7.8,0.62,0.05,2.3,0.079,6
10.3,0.59,0.42,2.8,0.09,35
10,0.49,0.2,11,0.071,13
10,0.49,0.2,11,0.071,13
11.6,0.53,0.66,3.65,0.121,6
10.3,0.44,0.5,4.5,0.107,5
13.4,0.27,0.62,2.6,0.082,6
10.7,0.46,0.39,2,0.061,7
10.2,0.36,0.64,2.9,0.122,10
10.2,0.36,0.64,2.9,0.122,10
8,0.58,0.28,3.2,0.066,21
8.4,0.56,0.08,2.1,0.105,16
7.9,0.65,0.01,2.5,0.078,17
11.9,0.695,0.53,3.4,0.128,7
8.9,0.43,0.45,1.9,0.052,6
7.8,0.43,0.32,2.8,0.08,29
12.4,0.49,0.58,3,0.103,28
12.5,0.28,0.54,2.3,0.082,12
12.2,0.34,0.5,2.4,0.066,10
10.6,0.42,0.48,2.7,0.065,5
10.9,0.39,0.47,1.8,0.118,6
10.9,0.39,0.47,1.8,0.118,6
11.9,0.57,0.5,2.6,0.082,6
7,0.685,0,1.9,0.067,40
6.6,0.815,0.02,2.7,0.072,17
13.8,0.49,0.67,3,0.093,6
9.6,0.56,0.31,2.8,0.089,15
9.1,0.785,0,2.6,0.093,11
10.7,0.67,0.22,2.7,0.107,17
9.1,0.795,0,2.6,0.096,11
7.7,0.665,0,2.4,0.09,8
13.5,0.53,0.79,4.8,0.12,23
6.1,0.21,0.4,1.4,0.066,40.5
6.7,0.75,0.01,2.4,0.078,17
11.5,0.41,0.52,3,0.08,29
10.5,0.42,0.66,2.95,0.116,12
11.9,0.43,0.66,3.1,0.109,10
12.6,0.38,0.66,2.6,0.088,10
8.2,0.7,0.23,2,0.099,14
8.6,0.45,0.31,2.6,0.086,21
11.9,0.58,0.66,2.5,0.072,6
12.5,0.46,0.63,2,0.071,6
12.8,0.615,0.66,5.8,0.083,7
10,0.42,0.5,3.4,0.107,7
12.8,0.615,0.66,5.8,0.083,7
10.4,0.575,0.61,2.6,0.076,11
10.3,0.34,0.52,2.8,0.159,15
9.4,0.27,0.53,2.4,0.074,6
6.9,0.765,0.02,2.3,0.063,35
7.9,0.24,0.4,1.6,0.056,11
9.1,0.28,0.48,1.8,0.067,26
7.4,0.55,0.22,2.2,0.106,12
14,0.41,0.63,3.8,0.089,6
11.5,0.54,0.71,4.4,0.124,6
11.5,0.45,0.5,3,0.078,19
9.4,0.27,0.53,2.4,0.074,6
11.4,0.625,0.66,6.2,0.088,6
8.3,0.42,0.38,2.5,0.094,24
8.3,0.26,0.42,2,0.08,11
13.7,0.415,0.68,2.9,0.085,17
8.3,0.26,0.42,2,0.08,11
8.3,0.26,0.42,2,0.08,11
7.7,0.51,0.28,2.1,0.087,23
7.4,0.63,0.07,2.4,0.09,11
7.8,0.54,0.26,2,0.088,23
8.3,0.66,0.15,1.9,0.079,17
7.8,0.46,0.26,1.9,0.088,23
9.6,0.38,0.31,2.5,0.096,16
5.6,0.85,0.05,1.4,0.045,12
13.7,0.415,0.68,2.9,0.085,17
9.5,0.37,0.52,2,0.082,6
8.4,0.665,0.61,2,0.112,13
12.7,0.6,0.65,2.3,0.063,6
12,0.37,0.76,4.2,0.066,7
6.6,0.735,0.02,7.9,0.122,68
11.5,0.59,0.59,2.6,0.087,13
11.5,0.59,0.59,2.6,0.087,13
8.7,0.765,0.22,2.3,0.064,9
6.6,0.735,0.02,7.9,0.122,68
7.7,0.26,0.3,1.7,0.059,20
12.2,0.48,0.54,2.6,0.085,19
11.4,0.6,0.49,2.7,0.085,10
7.7,0.69,0.05,2.7,0.075,15
8.7,0.31,0.46,1.4,0.059,11
9.8,0.44,0.47,2.5,0.063,9
12,0.39,0.66,3,0.093,12
10.4,0.34,0.58,3.7,0.174,6
12.5,0.46,0.49,4.5,0.07,26
9,0.43,0.34,2.5,0.08,26
9.1,0.45,0.35,2.4,0.08,23
7.1,0.735,0.16,1.9,0.1,15
9.9,0.4,0.53,6.7,0.097,6
8.8,0.52,0.34,2.7,0.087,24
8.6,0.725,0.24,6.6,0.117,31
10.6,0.48,0.64,2.2,0.111,6
7,0.58,0.12,1.9,0.091,34
11.9,0.38,0.51,2,0.121,7
6.8,0.77,0,1.8,0.066,34
9.5,0.56,0.33,2.4,0.089,35
6.6,0.84,0.03,2.3,0.059,32
7.7,0.96,0.2,2,0.047,15
10.5,0.24,0.47,2.1,0.066,6
7.7,0.96,0.2,2,0.047,15
6.6,0.84,0.03,2.3,0.059,32
6.4,0.67,0.08,2.1,0.045,19
9.5,0.78,0.22,1.9,0.077,6
9.1,0.52,0.33,1.3,0.07,9
12.8,0.84,0.63,2.4,0.088,13
10.5,0.24,0.47,2.1,0.066,6
7.8,0.55,0.35,2.2,0.074,21
11.9,0.37,0.69,2.3,0.078,12
12.3,0.39,0.63,2.3,0.091,6
10.4,0.41,0.55,3.2,0.076,22
12.3,0.39,0.63,2.3,0.091,6
8,0.67,0.3,2,0.06,38
11.1,0.45,0.73,3.2,0.066,6
10.4,0.41,0.55,3.2,0.076,22
7,0.62,0.18,1.5,0.062,7
12.6,0.31,0.72,2.2,0.072,6
11.9,0.4,0.65,2.15,0.068,7
15.6,0.685,0.76,3.7,0.1,6
10,0.44,0.49,2.7,0.077,11
5.3,0.57,0.01,1.7,0.054,5
9.5,0.735,0.1,2.1,0.079,6
12.5,0.38,0.6,2.6,0.081,31
9.3,0.48,0.29,2.1,0.127,6
8.6,0.53,0.22,2,0.1,7
11.9,0.39,0.69,2.8,0.095,17
11.9,0.39,0.69,2.8,0.095,17
8.4,0.37,0.53,1.8,0.413,9
6.8,0.56,0.03,1.7,0.084,18
10.4,0.33,0.63,2.8,0.084,5
7,0.23,0.4,1.6,0.063,21
11.3,0.62,0.67,5.2,0.086,6
8.9,0.59,0.39,2.3,0.095,5
9.2,0.63,0.21,2.7,0.097,29
10.4,0.33,0.63,2.8,0.084,5
11.6,0.58,0.66,2.2,0.074,10
9.2,0.43,0.52,2.3,0.083,14
8.3,0.615,0.22,2.6,0.087,6
11,0.26,0.68,2.55,0.085,10
8.1,0.66,0.7,2.2,0.098,25
11.5,0.315,0.54,2.1,0.084,5
10,0.29,0.4,2.9,0.098,10
10.3,0.5,0.42,2,0.069,21
8.8,0.46,0.45,2.6,0.065,7
11.4,0.36,0.69,2.1,0.09,6
8.7,0.82,0.02,1.2,0.07,36
13,0.32,0.65,2.6,0.093,15
9.6,0.54,0.42,2.4,0.081,25
12.5,0.37,0.55,2.6,0.083,25
9.9,0.35,0.55,2.1,0.062,5
10.5,0.28,0.51,1.7,0.08,10
9.6,0.68,0.24,2.2,0.087,5
9.3,0.27,0.41,2,0.091,6
10.4,0.24,0.49,1.8,0.075,6
9.6,0.68,0.24,2.2,0.087,5
9.4,0.685,0.11,2.7,0.077,6
10.6,0.28,0.39,15.5,0.069,6
9.4,0.3,0.56,2.8,0.08,6
10.6,0.36,0.59,2.2,0.152,6
10.6,0.36,0.6,2.2,0.152,7
10.6,0.44,0.68,4.1,0.114,6
10.2,0.67,0.39,1.9,0.054,6
10.2,0.67,0.39,1.9,0.054,6
10.2,0.645,0.36,1.8,0.053,5
11.6,0.32,0.55,2.8,0.081,35
9.3,0.39,0.4,2.6,0.073,10
9.3,0.775,0.27,2.8,0.078,24
9.2,0.41,0.5,2.5,0.055,12
8.9,0.4,0.51,2.6,0.052,13
8.7,0.69,0.31,3,0.086,23
6.5,0.39,0.23,8.3,0.051,28
10.7,0.35,0.53,2.6,0.07,5
7.8,0.52,0.25,1.9,0.081,14
7.2,0.34,0.32,2.5,0.09,43
10.7,0.35,0.53,2.6,0.07,5
8.7,0.69,0.31,3,0.086,23
7.8,0.52,0.25,1.9,0.081,14
10.4,0.44,0.73,6.55,0.074,38
10.4,0.44,0.73,6.55,0.074,38
10.5,0.26,0.47,1.9,0.078,6
10.5,0.24,0.42,1.8,0.077,6
10.2,0.49,0.63,2.9,0.072,10
10.4,0.24,0.46,1.8,0.075,6
11.2,0.67,0.55,2.3,0.084,6
10,0.59,0.31,2.2,0.09,26
13.3,0.29,0.75,2.8,0.084,23
12.4,0.42,0.49,4.6,0.073,19
10,0.59,0.31,2.2,0.09,26
10.7,0.4,0.48,2.1,0.125,15
10.5,0.51,0.64,2.4,0.107,6
10.5,0.51,0.64,2.4,0.107,6
8.5,0.655,0.49,6.1,0.122,34
12.5,0.6,0.49,4.3,0.1,5
10.4,0.61,0.49,2.1,0.2,5
10.9,0.21,0.49,2.8,0.088,11
7.3,0.365,0.49,2.5,0.088,39
9.8,0.25,0.49,2.7,0.088,15
7.6,0.41,0.49,2,0.088,16
8.2,0.39,0.49,2.3,0.099,47
9.3,0.4,0.49,2.5,0.085,38
9.2,0.43,0.49,2.4,0.086,23
10.4,0.64,0.24,2.8,0.105,29
7.3,0.365,0.49,2.5,0.088,39
7,0.38,0.49,2.5,0.097,33
